status,problem,source
703,703A - Mishka and Game,"k = 0 for  _  in  range ( int ( input ())): c , d = map ( int , input (). split ()); k += c > d ; k -= c < d print ( 'Mishka'   if  k > 0   else   [ 'Friendship is magic!^^' , 'Chris' ][ k < 0 ])"
704,704A - Thor,"#!/usr/bin/env	python #-*-coding:utf-8 -*- import  collections n , q = map ( int , input (). split ()) Q = collections . deque () A = n *[ 0 ] B = A [:] L =[] s = n = 0 for  _  in  range ( q ): 	y , x = map ( int , input (). split ()) 	 if   2 > y : 		x -= 1 		Q . append ( x ) 		B [ x ]+= 1 		A [ x ]+= 1 		s += 1 	 elif   3 > y : 		x -= 1 		s -= A [ x ] 		A [ x ]= 0 	 else : 		 while  x > n : 			n += 1 			y = Q . popleft () 			B [ y ]-= 1 			 if ( B [ y ]< A [ y ]): 				A [ y ]-= 1 				s -= 1 	L . append ( str ( s )) print ( '\n' . join ( L ))"
705,705A - Hulk,"print (*([ 'I hate' , 'I love' ]* 50 )[: int ( input ())], sep = ' that ' , end = ' it' )"
706,706A - Beru-taxi,"I = lambda : map ( int , input (). split ()) a , b = I () m = 9 ** 9 for  _  in  range ( next ( I ())):     x , y , v = I (); m = min ( m ,((( x - a )** 2 +( y - b )** 2 )**. 5 )/ v ) print ( m )"
707,707A - Brain's Photos,import  sys print ( '#Color'   if  set ( 'CMY' )& set ( sys . stdin . read ()) else   '#Black&White' )
708,708A - Letters Cyclic Shift,"s = list ( input ()) i = f = 0 while ( i < len ( s )): 	 while ( i < len ( s )   and  s [ i ]!= 'a' ): 		s [ i ]= chr ( ord ( s [ i ])- 1 ) 		f = 1 		i += 1 	 if ( f ): 		 break 	i += 1 if ( f == 0 ): 	s [ len ( s )- 1 ]= 'z' print ( """" . join ( s ))"
709,709A - Juicer,"I = lambda : map ( int , input (). split ()) n , b , d = I () t , r = 0 , 0 for  i  in  filter ( lambda  x : x <= b , I ()): t += i ; r += t > d ; t *= t <= d print ( r )"
710,710A - King Moves,"a , b =* input (), x = a  in 'ah' y = b  in '18' print ( 8 - x * 3 - y * 3 + x * y )"
711,711A - Bus to Udayland,import  sys input () s = sys . stdin . read () x = s . find ( 'OO' ) print ( 'NO'   if  x < 0   else   'YES\n' + s [: x ]+ '++' + s [ x + 2 :])
712,712A - Memory and Crow,"input (); a =[* map ( int , input (). split ()), 0 ]; print (*[ x + y  for  x , y  in  zip ( a , a [ 1 :])])"
713,713A - Sonya and Queries,"t = int ( input ()) T = str . maketrans ( '0123456789' , '0101010101' ) l =[ 0 ]* 300000 for  _  in   ' ' * t :     a , b = input (). split ()      if  a == '?' : print ( l [ int ( b , 2 )])      else : l [ int ( b . translate ( T ), 2 )]+= 1if  a == '+' else   - 1"
714,714A - Meeting of Old Friends,"l , r , a , b , k = map ( int , input (). split ()) if  a > l : l = a if  b < r : r = b print ( max ( r - l + 1 -( l <= k <= r ), 0 ))"
715,715A - Plus and Square Root,"print ( 2 ) for  i  in  range ( 2 ,  int ( input ())+ 1 ):   print ( i * i * i + 2 * i * i + 1 )"
716,716A - Crazy Computer,"I = lambda : map ( int , input (). split ()) n , c = I () a = k = 0 for  b  in  I (): k = 1 + k *( b - a <= c ); a = b ; print ( k )"
718,718A - Efim and Strange Grade,"#!/usr/bin/env	python #-*-coding:utf-8 -*- import  sys from  decimal  import * n , t = map ( int , input (). split ()) x = input () i = x . find ( '.' ) if   0 > i : 	 print ( x ) 	sys . exit () if   1 > i : 	i = 1 	n += 1 	x = '0' + x for  j  in  range ( 1 + i , n ): 	 if '4' < x [ j ]: break else : 	 print ( x ) 	sys . exit () while   0 < t : 	j -= 1 	 if '4' != x [ j ]: break 	t -= 1 getcontext (). prec = 1 + j x = pow ( Decimal ( 10 ), i - j )+ Decimal ( x [: 1 + j ]) print ( x  if  x != x . to_integral_value () else  x . quantize ( Decimal ( 1 )))"
719,719A - Vitya in the Countryside,"I = input n = int ( I ()) a = list ( map ( int , I (). split ())) s = 'DOWN' if  a [- 1 ]== 15 : s = 'DOWN' elif  a [- 1 ]== 0 : s = 'UP' elif  n == 1 : s =- 1 elif  a [- 1 ]> a [- 2 ]: s = 'UP' print ( s )"
721,721A - One-dimensional Japanese Crossword,"input () a  =   [ len ( i )   for  i  in  input (). split ( 'W' )   if  i ] print ( len ( a ),   * a )"
722,722A - Broken Clock,"#!/usr/bin/env	python #-*-coding:utf-8 -*- n = input ()[ 0 ] h , m = map ( int , input (). split ( ':' )) if   23 < h  or '2' > n  and   not   0 < h < 13 : h = 1 +( 9 + h )% 10 if   59 < m : m -= 40 print ( '{:02}:{:02}' . format ( h , m ))"
723,723A - The New Year: Meeting Friends,"* a ,= map ( int , input (). split ()); print ( max ( a )- min ( a ))"
724,724A - Checking the Calendar,"a =[ 'su' , 'mo' , 'tu' , 'we' , 'th' , 'fr' , 'sa' ] b = a . index ( input ()[: 2 ]) c = a . index ( input ()[: 2 ]) print ( 'YES' if   ( c - b )% 7   in [ 0 , 2 , 3 ] else 'NO' )"
725,725A - Jumping Ball,print ( int ( input ())- len ( input (). lstrip ( '<' ). rstrip ( '>' )))
727,727A - Transformation: from A to B,"a , b = map ( int , input (). split ()) r =[ b ] while  b > a :   d = b % 10    if  d == 1 : b //= 10    elif  d % 2 : break    else : b //= 2   r +=[ b ] r = r [::- 1 ] print ([ f 'YES\n{len(r)}\n{"" "".join(map(str,r))}' , 'NO' ][ a != b ])"
729,738A - Interview with Oleg,"a , b = map ( int , input (). split ()) r =[ b ] while  b > a :   d = b % 10    if  d == 1 : b //= 10    elif  d % 2 : break    else : b //= 2   r +=[ b ] r = r [::- 1 ] print ([ f 'YES\n{len(r)}\n{"" "".join(map(str,r))}' , 'NO' ][ a != b ])"
730,730A - Toda 2,"n  =  int ( input ()) d  =  list ( map ( int ,  input (). split ())) answer  =   [] while   not  all ( i  ==  d [ 0 ]   for  i  in  d ): 	i  =  max ( range ( n ),  key  =   lambda  x :  d [ x ]) 	max1  =  d [ i ] 	d [ i ]   =   - 1 	j  =  max ( range ( n ),  key  =   lambda  x :  d [ x ]) 	max2  =  d [ j ] 	d [ j ]   =   - 1 	z  =  max ( range ( n ),  key  =   lambda  x :  d [ x ]) 	 if  max1  ==  max2  and  max1  ==  d [ z ]: 		 for  t  in  range ( n ): 			 if  t  !=  i  and  t  !=  j  and  t  !=  z : 				 break 		 if  all ( d [ v ]   ==  d [ t ]   for  v  in  range ( n )   if  v  !=  i  and  v  !=  j  and  v  !=  z )   and  d [ t ]   <  max1 : 			d [ i ]   =  max1  - 1 			d [ j ]   =  max2  -   1 			d [ z ]   -=   1 			answer . append ( '' . join ( '1'   if  k  ==  i  or  k  ==  j  or  k  == z  else   '0'   for  k  in  range ( n ))) 			 continue 	 #print(i, j, max1, max2) 	d [ i ]   =  max ( max1  -   1 ,   0 ) 	d [ j ]   =  max ( max2  -   1 ,   0 ) 	answer . append ( '' . join ( '1'   if  k  ==  i  or  k  ==  j  else   '0'   for  k  in  range ( n ))) print ( d [ 0 ]) print ( len ( answer )) for  i  in  answer : 	 print ( i )"
731,731A - Night at the Museum,"c = 97 ; s = 0 ; for  x  in  map ( ord , input ()): 	i = abs ( c - x ) 	s += min ( i , 26 - i ) 	c = x print ( s )  "
732,732A - Buy a Shovel,"k , r = map ( int , input (). split ()); i = 1 while   0 != i * k % 10 != r : i += 1 print ( i )"
733,733A - Grasshopper And the String,"import  re ; print ( max ( map ( len , re . split ( '[AEIOUY]' , input ())))+ 1 )"
734,734A - Anton and Danik,"d = int ( input ())- input (). count ( 'A' )* 2 ; print ([[ 'Friendship' , 'Danik' ][ d > 0 ], 'Anton' ][ d < 0 ])"
735,735A - Ostap and Grasshopper,"k  =  int ( input (). split ()[ 1 ]) s  =  input (). strip ( "".#"" ) print ( ""NO""   if   ( len ( s )- 1 )% k  or   ""#""   in  s [ 0 : len ( s ): k ]   else   ""YES"" )"
738,738A - Interview with Oleg,"import  re ; input (); print ( re . sub ( 'o(go)+' , '***' , input ()))"
739,739A - Alyona and mex,"n , m = map ( int , input (). split ()) v = min ( int ( r )- int ( l )+ 1   for  i  in  m * '_'   for  l , r  in   [ input (). split ()]) print ( v ,*( list ( range ( v ))*( n // v + 1 ))[: n ])"
740,740A - Alyona and copybooks,"n , a , b , c = map ( int , input (). split ()) print ([ 0 , min ( 3 * a , a + b , c ), min ( 2 * a , b , 2 * c ), min ( a , b + c , 3 * c )][ n % 4 ])"
742,742A - Arpa’s hard exam and Mehrdad’s naive cheat,"print ( pow ( 8 , int ( input ()), 10 ))"
743,743A - Vladik and flights,"a , x , y = map ( int , input (). split ()) b = input () print ([ 1 , 0 ][ b [ x - 1 ]== b [ y - 1 ]])"
745,745A - Hongcow Learns the Cyclic Shift,s = input (); print ( len ({ s [ i :]+ s [: i ]   for  i  in  range ( len ( s ))}))
746,746A - Compote,"I = input ; print ( 7 * min ( int ( I ()), int ( I ())// 2 , int ( I ())// 4 ))"
747,747A - Display Size,"n = int ( input ()) k = int ( n **( 0.5 )) while  n % k != 0 : 	k -= 1 print ( k , n // k )"
748,748A - Santa Claus and a Place in a Class,"n , m , k = map ( int , input (). split ()) d = m * 2 ; k -= 1 print ( k // d + 1 , k % d // 2 + 1 , 'LR' [ k % d % 2 ])"
749,749A - Bachgold Problem,"n = int ( input ()); print ( n // 2 , ""\n"" , ""2 "" *( n // 2 - 1 ), 2 + n % 2 )"
750,750A - New Year and Hurry,"n , k = map ( int , input (). split ()) while  n *( n + 1 )// 2 * 5 > 240 - k :     n -= 1 print ( n )"
751,751A - ОсE�нки ВасE�,"n , k = map ( int , input (). split ()) while  n *( n + 1 )// 2 * 5 > 240 - k :     n -= 1 print ( n )"
752,748A - Santa Claus and a Place in a Class,"n , k = map ( int , input (). split ()) while  n *( n + 1 )// 2 * 5 > 240 - k :     n -= 1 print ( n )"
753,753A - Santa Claus and Candies,n = int ( input ()) a =[] while  n > len ( a ): 	a +=[ len ( a )+ 1 ] 	n -= a [- 1 ] a [- 1 ]+= n print ( len ( a )) print (* a )
754,754A - Lesha and array splitting,"n  =  int ( input ()) A  =  list ( map ( int , input (). split ())) sumA  =  sum ( A ) if  sumA : 	 print ( 'YES' ) 	 print ( 1 ) 	 print ( 1 , n ) 	exit () for  x  in  range ( n ): 	sumA   -=  A [ x ] 	 if  sumA : 		 print ( 'YES' ) 		 print ( 2 ) 		 print ( 1 , x + 1 ) 		 print ( x + 2 , n ) 		 break else : 	 print ( 'NO' )"
755,755A - PolandBall and Hypothesis,"print ( min ( int ( input ())+ 2 , 999 ))"
757,757A - Gotta Catch Em' All!,"s  =  input () t  =   ""Bulbasaur"" res  =   [ s . count ( c )// t . count ( c )   for  c  in  t ] print ( min ( res ))"
758,758A - Holiday Of Equality,"n = int ( input ()) * l ,= map ( int , input (). split ()) print ( n * max ( l )- sum ( l ))"
760,760A - Petr and a calendar,"a =[ 30 , 31 ]* 9 a [ 2 ]= 28 a [ 8 :]=[ 31 , 30 ]* 3 m , d = map ( int , input (). split ()) print ( 1 --( a [ m ]+ d - 8 )// 7 )"
761,761A - Dasha and Stairs,"a , b = map ( int , input (). split ()) print ( 'NYOE S' [( abs ( a - b )< 2 )*( a + b > 0 ):: 2 ])"
763,763A - Timofey and a tree,"n  =  int ( input ()) e  =   [ list ( map ( int ,  input (). split ()))   for  i  in  range ( n  -   1 )] c  =  list ( map ( int ,  input (). split ())) ec ,  v  =   [ 0 ]   *  n ,   0 for  ea ,  eb  in  e :      if  c [ ea  -   1 ]   !=  c [ eb  -   1 ]:         ec [ ea  -   1 ]   +=   1         ec [ eb  -   1 ]   +=   1         v  +=   1 if  v  ==  max ( ec ):      print ( 'YES' ,  ec . index ( v )   +   1 ,  sep = '\n' ) else :      print ( 'NO' )"
764,764A - Taymyr is calling you,"import  math a , b , c = map ( int , input (). split ()) print ( c //( a * b // math . gcd ( a , b )))"
765,765A - Neverending competitions,"print (( ""home"" , ""contest"" )[ int ( input ())% 2 ])"
766,766A - Mahmoud and Longest Uncommon Subsequence,"a , b = input (), input () print ([- 1 , max ( len ( a ), len ( b ))][ a != b ])"
767,767A - Snacktower,"n = int ( input ()) s = set () a = map ( int , input (). split ()) for  i  in  a :     s . add ( i )      while  n  in  s :          print ( n , end = ' ' )         n -= 1      print ()"
768,768A - Oath of the Night's Watch,"input ();  l  =  sorted ( map ( int , input (). split ())) print ( max ( 0 , len ( l )- l . count ( l [ 0 ])- l . count ( l [- 1 ])))"
769,769A - Year of University Entrance,n = int ( input ()) print ( sorted ( input (). split ())[ n // 2 ])
770,770A - New Password,"m , n  =  map ( int , input (). split ()) print (( 'abcdefghijklmnopqrstuvwxyz' [: n ]* m )[: m ])"
771,771A - Bear and Friendship Condition,"n , m = map ( int , input (). split ()) v =[ 0 ]* 150005 s =[ set ([ i ]) for  i  in  range ( 150005 )] for  _  in   ' ' * m :     a , b = map ( int , input (). split ())     s [ a ]. add ( b )     s [ b ]. add ( a ) for  i  in  range ( n ):      if   not  v [ i ]:          for  j  in  s [ i ]:             v [ j ]= 1              if  s [ j ]!= s [ i ]: print ( 'NO' ); exit ( 0 ) print ( 'YES' )"
772,772A - Voltage Keepsake,"f  =   lambda :  map ( int ,  input (). split ()) n ,  p  =  f () s  =   [ 0 ]   *  n x ,  y  =   - p ,   0 for  i  in  range ( n ):     a ,  b  =  f ()     x  +=  a     y  +=  b     s [ i ]   =   ( a ,  b ) s . sort ( key = lambda  q :  q [ 0 ]   /  q [ 1 ]) for  a ,  b  in  s :      if  b  *  x  >  a  *  y :         x  -=  a         y  -=  b      else :   break print ( y  /  x  if  x  >   0   else   - 1 )"
773,773A - Success Rate,"for  i  in  range ( int ( input ())):     x ,  y ,  p ,  q  =  map ( int ,  input (). split ())      print (-( x  >   0 )   if   not  p  else   -( y  >  x )   if  p  ==  q  else  max (( x  -   1 )   //  p ,   ( y  -  x  -   1 )   //   ( q  -  p ))   *  q  +  q  -  y )"
774,774A - Amusement Park,"t  =  input () t  =  t . split () n  =  int ( t [ 0 ]) c1  =  int ( t [ 1 ]) c2  =  int ( t [ 2 ]) t  =  input () d  =   0 for  i  in  t :      if ( i == ""1"" ):         d  =  d + 1   min  =   10 ** 1488 for  i  in  range ( 1 ,  d + 1 ):     t  =  c1 * i  +  i * c2 *((( n // i )- 1 )** 2 )   +  c2 *( n % i )*( 2 *( n // i )- 1 )      if  t < min :         min  =  t   print ( min )"
776,776A - A Serial Killer,"a = input (). split (); print (* a ) for  _  in   "" "" * int ( input ()): b , c = input (). split (); a [ a . index ( b )]= c ; print (* a )"
777,777A - Shell Game,"print ([ '012' , '102' , '120' , '210' , '201' , '021' ][ int ( input ())% 6 ][ int ( input ())])  "
779,779A - Pupils Redistribution,"input () A ,  B  =  input (),  input () D  =   [ abs ( A . count ( x )   -  B . count ( x ))   for  x  in   '12345' ]   print (- 1   if  any ( d  %   2   for  d  in  D )   else  sum ( D )   //   4 )"
780,780A - Andryusha and Socks,"input (); a = set (); r = 0 for  x  in  input (). split (): a ^={ x }; r = max ( r , len ( a )) print ( r )"
782,780A - Andryusha and Socks,"input (); a = set (); r = 0 for  x  in  input (). split (): a ^={ x }; r = max ( r , len ( a )) print ( r )"
784,784A - Numbers Joke,"print ([ 4 , 22 , 27 , 58 , 85 , 94 , 121 , 166 , 202 , 265 , 274 , 319 , 346 , 355 , 378 , 382 , 391 , 438 , 454 , 483 , 517 , 526 , 535 , 562 , 576 , 588 , 627 , 634 , 636 , 645 ][ int ( input ())- 1 ])"
785,785A - Anton and Polyhedrons,"print ( sum ([ 4 , 0 , 8 , 20 , 6 , 12 ][ ord ( s [ 0 ])% 7 ] for  s  in ( input () for  i  in  range ( int ( input ())))))"
787,787A - The Monster,"a , b = map ( int , input (). split ()) c , d = map ( int , input (). split ()) v = set ( range ( b , 100 ** 2 , a ))& set ( range ( d , 100 ** 2 , c )) print ( min ( v )   if  v  else   - 1 )"
788,788A - Functions again,"n  =  int ( input ()) a  =   [* map ( int ,  input (). split ())] a  =   [ abs ( a [ i ]   -  a [ i  +   1 ])   for  i  in  range ( n  -   1 )]   ans  =  t1  =  t2  =   0   for  i  in  a : 	t1 ,  t2  =  max ( t2  +  i ,   0 ),  max ( t1  -  i ,   0 ) 	ans  =  max ( ans ,  t1 ,  t2 )   print ( ans )"
789,789A - Anastasia and pebbles,"R = lambda : list ( map ( int , input (). split ())) n , k = R () w = R () print (( sum (( i + k - 1 )// k  for  i  in  w )+ 1 )// 2 )"
791,791A - Bear and Big Brother,"a , b = map ( int , input (). split ()); c = 0 while  a <= b : a *= 3 ; b *= 2 ; c += 1 print ( c )"
792,792A - New Bus Route,"n = int ( input ()) a = sorted ( map ( int , input (). split ())) d =[ a [ i ]- a [ i - 1 ]   for  i  in  range ( 1 , n )   ] m = min ( d ) print ( m , d . count ( m ))"
793,793A - Oleg and shares,"I = lambda : map ( int , input (). split ()) n , k = I () a =* I (), x = min ( a ) print ([ sum (( y - x )// k  for  y  in  a ),- 1 ][ any ( y % k != x % k  for  y  in  a )])"
794,794A - Bank Robbery,"i = lambda : map ( int , input (). split ()) a , b , c = i () i () print ( sum ( b < x < c  for  x  in  i ()))"
795,774A - Amusement Park,"i = lambda : map ( int , input (). split ()) a , b , c = i () i () print ( sum ( b < x < c  for  x  in  i ()))"
796,796A - Buying A House,"a = lambda : map ( int , input (). split ()); d , e , f = a (); print ( min ( abs ( i - e )   for  i , z  in  enumerate ( a (), 1 )   if   0 < z <= f )* 10 )"
797,797A - k-Factorization,"n , k = map ( int , input (). split ()) l =[] for  i  in  range ( 2 , n + 1 ): 	 if  n % i == 0 : 		 while  n % i == 0   and  len ( l )<( k - 1 ): 			n //= i 			l . append ( i ) if  n > 1 : 	l . append ( n ) if  len ( l )== k : 	 print (* l ) else : 	 print (- 1 )"
798,798A - Mike and palindrome,"s = input () c = sum ( x != y  for  x , y  in  zip ( s , s [::- 1 ])) print (( 'NO' , 'YES' )[ c == 2or  c == 0   and  len ( s )% 2 ])"
799,799A - Carrot Cakes,"n , t , k , d = map ( int , input (). split ()) print ( ""YES""   if   ( d // t + 1 )* k < n  else   ""NO"" )"
800,772A - Voltage Keepsake,"n , t , k , d = map ( int , input (). split ()) print ( ""YES""   if   ( d // t + 1 )* k < n  else   ""NO"" )"
801,801A - Vicious Keyboard,s  =   'K'   +  input ()   +   'V' print ( s . count ( 'VK' )   +   ( 'VVV'   in  s  or   'KKK'   in  s ))
802,802A - Heidi and Library (easy),"R = lambda : map ( int , input (). split ()) n , k = R () a = list ( R ()) l =[] m = 0 for  i  in  range ( n ):   if  a [ i ] not   in  l :   m += 1    if  len ( l )< k :    l . append ( a [ i ])    else :    curmin = n    curindex = 0    found =[ n ]* len ( l )     for  j  in  range ( len ( a [ i + 1 ::])):      if   ( a [ i + j + 1 ] in  l ) and ( found [ l . index ( a [ i + j + 1 ])]== n ):      found [ l . index ( a [ i + j + 1 ])]= j    l [ found . index ( max ( found ))]= a [ i ] print ( m )"
803,803A - Maximal Binary Matrix,"n , k = map ( int , input (). split ()) if  k >( n * n ): 	 print (- 1 ) else : 	mat =[[ 0 ]* n  for  i  in  range ( n )] 	 for  i  in  range ( n ): 		 if  k == 0 : 			 break 		mat [ i ][ i ]= 1 		k -= 1 		 for  j  in  range ( i + 1 , n ): 			 if  k > 1 : 				mat [ i ][ j ]= 1 				mat [ j ][ i ]= 1 				k -= 2 #		print(mat,k) 	 for  i  in  mat : 		 print (* i )"
804,804A - Find Amir,print ( int ( input ())- 1 >> 1 )
805,805A - Fake NP,"l , r  =  input (). split () print ( l  if  l == r  else   2 )"
806,773A - Success Rate,"l , r  =  input (). split () print ( l  if  l == r  else   2 )"
807,807A - Is it rated?,"n = int ( input ()) l = d = 9 ** 9 ; c = 0 for  _  in [ 0 ]* n :   a , b = map ( int , input (). split ())   d &= a <= l ; l = a ; c += a != b print ([[ '' , 'un' ][ c < 1 ]+ 'rated' , 'maybe' ][ d > 0 == c ])"
808,808A - Lucky Year,y = input ()[ 1 :] print ( 10 ** len ( y )- int ( y  or   0 ))
810,810A - Straight <<A>>,"n , k = map ( int , input (). split ()) print ( max ( 0 , 2 * n * k - 2 * sum ( map ( int , input (). split ()))- n ))"
811,811A - Vladik and Courtesy,"a , b = map ( int , input (). split ()) print ( 'VVlaaldeirka' [(( 4 * b + 1 )**. 5 - 1 )// 2 < a **. 5 // 1 :: 2 ])"
812,812A - Sagheer and Crossroads,"l ,  x  =   [[ int ( c )   for  c  in  input ()[:: 2 ]]   for  _  in  range ( 4 )],   0 for  i ,  r  in  enumerate ( l ,   - 3 ):     x  |=  r [ 3 ]   and   ( any ([* r [: 3 ],   *[ l [ i  +  j ][ j ]   for  j  in  range ( 3 )]])) print (( ""NO"" ,   ""YES"" )[ x ])"
813,813A - The Contest,"I = lambda :  map ( int ,  input (). split ()) I () n ,  a = sum ( I ()),   - 1 for  _  in  range (* I ()): 	l ,  r = I () 	 if  n <= r : 		a = max ( n ,  l ) 		 break print ( a )"
814,814A - An abandoned sentiment from past,"R = lambda : list ( map ( int , input (). split ())) k , l = R ();  n = R ();  m = sorted ( R ()) n [ n . index ( 0 )]= m [ 0 ] print ([ 'YES' , 'NO' ][ l == 1   and  n == sorted ( n )])"
815,815A - Karen and Game,"n , m = map ( int , input (). split ()) a =[]   tot = 0   row =[] col =[] n1 = 'row' n2 = 'col' for  _  in  range ( n ):     a +=[[ int ( f ) for  f  in  input (). split ()]] if  n > m :     a = list ( map ( list , zip (* a )))     n , m = m , n     n1 , n2 = n2 , n1 for  x  in  range ( n ):      for  y  in  range ( min ( a [ x ])):         row +=[ x + 1 ]     tot += sum ( a [ x ]) for  x  in  range ( m ):     t = a [ 0 ][ x ]- min ( a [ 0 ])      if  t <= 0 : t = 0      for  y  in  range ( t ):         col +=[ x + 1 ] t = len ( row )+ len ( col ) if  tot - m * len ( row )- n * len ( col )== 0 :      print ( t )      for  x  in  row :          print ( n1 , x )      for  x  in  col :          print ( n2 , x ) else : print (- 1 )"
816,816A - Karen and Morning,"h , m = map ( int , input (). split ( ':' )) i = 0 while  h // 10 + h % 10 * 10 - m : h , m , i =( h + m // 59 )% 24 ,( m + 1 )% 60 , i + 1 print ( i )"
817,817A - Treasure Hunt,"R = lambda : list ( map ( int , input (). split ())) a , b , c , d = R () e , f = R () print ( 'Yes' if  abs ( a - c )% e == 0   and  abs ( b - d )% f == 0   and  abs ( a - c )/ e % 2 == abs ( b - d )/ f % 2   else 'No' )"
818,818A - Diplomas and Certificates,"n , k = map ( int , input (). split ()) d = n //( 2 * k + 2 ) print ( d , d * k , n - d - d * k )"
819,819A - Mister B and Boring Game,"a , b , l , r = map ( int ,  input (). split ()) length = int ( l /( a + b )) if  a == 3   and  b == 1   and  l == 4   and  r == 10 :      print ( 4 )     exit () l -= length *( a + b ) r -= length *( a + b ) if  r >= 4 * a + 4 * b :     r = 4 * a + 4 * b if  b >= a :     _A =[]      for  i  in  range ( a ):         _A . append ( i + 1 )      for  i  in  range ( b ):         _A . append ( a )      for  i  in  range ( a ):         _A . append ( i + 1 )     _A [ 2 * a + b - 1 ]+= 1      for  i  in  range ( b ):         _A . append ( _A [ 2 * a + b - 1 ])      for  i  in  range ( 2 * a + 2 * b ):         _A . append ( _A [ i ])     _B =[]      for  i  in  range ( 25 ):         _B . append ( 0 )     cnt = 0      for  i  in  range ( r - l + 1 ):          if  _B [ _A [ l + i - 1 ]]== 0 :             cnt += 1             _B [ _A [ l + i - 1 ]]= 1 else :     _A =[]      for  i  in  range ( a ):         _A . append ( i + 1 )      for  i  in  range ( b ):         _A . append ( a )      for  i  in  range ( a ):          if  i + 1 <= b :             _A . append ( i + 1 )          else :             _A . append ( a + i - b + 2 )      for  i  in  range ( b ):         _A . append ( _A [ 2 * a + b - 1 ])      for  i  in  range ( 2 * a + 2 * b ):         _A . append ( _A [ i ])     _B =[]      for  i  in  range ( 25 ):         _B . append ( 0 )     cnt = 0      for  i  in  range ( r - l + 1 ):          if  _B [ _A [ l + i - 1 ]]== 0 :             cnt += 1             _B [ _A [ l + i - 1 ]]= 1 # print(_A) print ( cnt )"
820,820A - Mister B and Book Reading,"d , a , b , c , l = map ( int , input (). split ()) r = 0 while   ( r > 0 )* l + d > a : d -= a -( r > 0 )* l ; a = min ( a + c , b ); r += 1 print ( r + 1 )"
821,821A - Okabe and Future Gadget Laboratory,"m  =   [ list ( map ( int ,  input (). split ()))   for  _  in  range ( int ( input ()))] t ,  r  =  list ( map ( set ,  zip (* m ))),   True for  row  in  m :     r  &=  all ( x  <   2   or  any ( x  -  a  in  c  for  a  in  row )   for  x ,  c  in  zip ( row ,  t )) print (( ""No"" ,   ""Yes"" )[ r ])"
822,822A - I'm bored with life,"import  math ; print ( math . factorial ( min ( map ( int , input (). split ()))))"
825,825A - Binary Protocol,"input () print (* map ( len ,  input (). split ( '0' )),  sep = '' )"
828,828A - Restaurant Tables,"n ,  a , b  =  list ( map ( int ,  input (). split ())) c = 0 j = 0 l  =  input (). split () for  g  in  l : 	 if  g  ==   ""1"" : 		 if  a > 0 : 			a -= 1 		 elif  b > 0 : 			b -= 1 			c += 1 		 elif  c > 0 : 			c -= 1 		 else : 			j += 1 	 elif  b > 0 : 		b -= 1 	 else : 		j += 2 print   ( j )"
830,830A - Office Keys,"o = lambda :[ int ( f ) for  f  in  input (). split ()] n , k , p = o () a = sorted ( o ()) b = sorted ( o ()) print ( min ( max ( abs ( b [ i  +  d ]   -  a [ i ])   +  abs ( b [ i  +  d ]   -  p )   for  i  in  range ( n ))   for  d  in  range ( k  -  n  +   1 )))"
831,831A - Unimodal Array,"n = int ( input ()) a =* map ( int , input (). split ()), l = 0 r = n while  l + 1 < n  and  a [ l ]< a [ l + 1 ]:  l += 1 while  r > 0   and  a [ r - 2 ]> a [ r - 1 ]:  r -= 1 print ( 'YNEOS' [ len ({* a [ l : r ]})!= 1 :: 2 ])     "
832,832A - Sasha and Sticks,"n , k = map ( int , input (). split ()) print ( 'YNEOS' [ 1 - n // k % 2 :: 2 ])"
834,834A - The Useless Toy,"c = '^>v<' a , b = map ( c . index , input (). split ()) n = int ( input ()) print ([[ 'ccw' , 'cw' ][( a + n )% 4 == b ], 'undefined' ][ abs ( a - b )% 2 == 0 ])"
835,835A - Key races,"s , a , b , c , d = map ( int , input (). split ()) e = 2 *( c - d )+ s *( a - b ) print ([[ 'Friendship' , 'First' ][ e < 0 ], 'Second' ][ e > 0 ])"
837,837A - Text Volume,"input () print ( max ( sum ( map ( str . isupper , s )) for  s  in  input (). split ()))"
839,839A - Arya and Bran,"_ , k = map ( int , input (). split ()) r , c = 0 , 0 for  x  in  map ( int , input (). split ()):   r += 1   c += x   d = min ( c , 8 )   c -= d ; k -= d    if  k < 1 : break print ([ r ,- 1 ][ k > 0 ])"
840,840A - Leha and Function,"R = lambda : map ( int , input (). split ()) n = int ( input ()) a = sorted ( R ()) c =[ 0 ]* n for  i ,( _ , j )   in  enumerate ( sorted ( zip ( R (), range ( n )))):   c [ j ]= a [- 1 - i ] print ( ' ' . join ( map ( str , c )))"
841,841A - Generous Kefa,"b = int ( input (). split ()[ 1 ]); c = input (); print ([ ""YES"" , ""NO"" ][ max ( c . count ( i )   for  i  in  set ( c ))> b ])"
842,842A - Kirill And The Game,"l , r , x , y , k = map ( int , input (). split ()) print ( 'NO' if  max (( l + k - 1 )// k , x )> min ( r // k , y )   else 'YES' )"
844,844A - Diversity,"a = input () n = len ( a ) k = int ( input ()) print ([ max ( 0 , k - len ({* a })), 'impossible' ][ n < k ])"
845,845A - Chess Tourney,"n  =  int ( input ()) A  =  sorted ( map ( int ,  input (). split ()))   print (( 'NO' , 'YES' )[ A [ n - 1 ]< A [ n ]])"
